Websuche-Interesse: DAX PERFORMANCE-INDEX FTSE 100 Index NASDAQ-100 Dow Jones Industrial Average Nikkei 225
Weltweit 2004 - heute

Interesse im Laufe der Zeit
Woche,DAX PERFORMANCE-INDEX,FTSE 100 Index,NASDAQ-100,Dow Jones Industrial Average,Nikkei 225
2004-01-04 - 2004-01-10,5,4,0,11,4
2004-01-11 - 2004-01-17,5,4,0,10,4
2004-01-18 - 2004-01-24,6,4,1,10,3
2004-01-25 - 2004-01-31,5,4,0,9,3
2004-02-01 - 2004-02-07,4,3,1,10,3
2004-02-08 - 2004-02-14,5,3,1,10,3
2004-02-15 - 2004-02-21,5,4,1,9,3
2004-02-22 - 2004-02-28,4,4,1,9,3
2004-02-29 - 2004-03-06,5,4,0,9,3
2004-03-07 - 2004-03-13,5,3,0,11,3
2004-03-14 - 2004-03-20,5,3,0,10,4
2004-03-21 - 2004-03-27,5,3,4,9,3
2004-03-28 - 2004-04-03,4,3,7,11,4
2004-04-04 - 2004-04-10,4,3,2,10,5
2004-04-11 - 2004-04-17,5,3,0,9,4
2004-04-18 - 2004-04-24,4,3,0,9,4
2004-04-25 - 2004-05-01,4,3,0,9,4
2004-05-02 - 2004-05-08,4,2,0,9,3
2004-05-09 - 2004-05-15,4,3,0,10,5
2004-05-16 - 2004-05-22,4,3,0,9,5
2004-05-23 - 2004-05-29,4,3,0,8,4
2004-05-30 - 2004-06-05,4,2,0,7,4
2004-06-06 - 2004-06-12,4,2,0,8,4
2004-06-13 - 2004-06-19,4,2,0,7,4
2004-06-20 - 2004-06-26,5,3,0,7,4
2004-06-27 - 2004-07-03,5,3,0,7,4
2004-07-04 - 2004-07-10,4,3,0,7,4
2004-07-11 - 2004-07-17,4,3,0,8,4
2004-07-18 - 2004-07-24,5,3,0,8,4
2004-07-25 - 2004-07-31,5,3,0,9,4
2004-08-01 - 2004-08-07,5,3,0,9,4
2004-08-08 - 2004-08-14,5,2,0,9,4
2004-08-15 - 2004-08-21,4,3,0,9,4
2004-08-22 - 2004-08-28,4,2,0,7,4
2004-08-29 - 2004-09-04,5,2,0,7,3
2004-09-05 - 2004-09-11,4,3,0,8,4
2004-09-12 - 2004-09-18,4,3,0,8,3
2004-09-19 - 2004-09-25,4,3,0,9,3
2004-09-26 - 2004-10-02,4,3,0,9,4
2004-10-03 - 2004-10-09,5,3,0,10,4
2004-10-10 - 2004-10-16,4,3,0,9,3
2004-10-17 - 2004-10-23,4,3,0,10,3
2004-10-24 - 2004-10-30,4,3,0,10,4
2004-10-31 - 2004-11-06,4,3,0,11,3
2004-11-07 - 2004-11-13,4,3,0,10,3
2004-11-14 - 2004-11-20,4,3,0,10,4
2004-11-21 - 2004-11-27,4,3,0,8,3
2004-11-28 - 2004-12-04,4,3,0,9,3
2004-12-05 - 2004-12-11,5,3,1,9,3
2004-12-12 - 2004-12-18,4,2,0,9,3
2004-12-19 - 2004-12-25,4,2,0,9,4
2004-12-26 - 2005-01-01,4,2,0,8,4
2005-01-02 - 2005-01-08,5,3,0,9,3
2005-01-09 - 2005-01-15,4,3,0,9,3
2005-01-16 - 2005-01-22,4,3,0,8,3
2005-01-23 - 2005-01-29,4,3,0,9,3
2005-01-30 - 2005-02-05,4,3,0,9,3
2005-02-06 - 2005-02-12,4,4,0,9,3
2005-02-13 - 2005-02-19,4,3,0,8,3
2005-02-20 - 2005-02-26,4,3,0,9,4
2005-02-27 - 2005-03-05,4,3,0,9,3
2005-03-06 - 2005-03-12,4,3,0,9,4
2005-03-13 - 2005-03-19,4,3,0,9,3
2005-03-20 - 2005-03-26,4,2,4,8,3
2005-03-27 - 2005-04-02,3,2,10,8,4
2005-04-03 - 2005-04-09,4,3,3,8,3
2005-04-10 - 2005-04-16,4,3,0,10,3
2005-04-17 - 2005-04-23,4,3,0,12,4
2005-04-24 - 2005-04-30,4,3,0,9,3
2005-05-01 - 2005-05-07,4,2,0,9,3
2005-05-08 - 2005-05-14,4,2,0,9,4
2005-05-15 - 2005-05-21,4,2,0,9,3
2005-05-22 - 2005-05-28,4,2,0,8,4
2005-05-29 - 2005-06-04,5,2,0,8,3
2005-06-05 - 2005-06-11,4,2,0,8,3
2005-06-12 - 2005-06-18,5,3,0,8,3
2005-06-19 - 2005-06-25,5,2,0,8,3
2005-06-26 - 2005-07-02,4,3,0,8,3
2005-07-03 - 2005-07-09,5,5,0,8,4
2005-07-10 - 2005-07-16,5,3,0,8,4
2005-07-17 - 2005-07-23,5,3,0,8,3
2005-07-24 - 2005-07-30,5,3,0,8,3
2005-07-31 - 2005-08-06,6,3,0,7,3
2005-08-07 - 2005-08-13,6,2,0,8,4
2005-08-14 - 2005-08-20,5,2,0,8,4
2005-08-21 - 2005-08-27,4,2,0,8,4
2005-08-28 - 2005-09-03,4,2,0,8,4
2005-09-04 - 2005-09-10,5,2,0,8,4
2005-09-11 - 2005-09-17,5,2,0,9,4
2005-09-18 - 2005-09-24,5,3,0,8,3
2005-09-25 - 2005-10-01,4,2,0,8,4
2005-10-02 - 2005-10-08,4,3,0,10,4
2005-10-09 - 2005-10-15,5,3,0,9,4
