# Wiki Link	Stock Symbol	Company Name
IPC1	IPC
IPC2	AC.MX
IPC3	ALFAA.MX
IPC4	ALSEA.MX
IPC5	AMXL.MX
IPC6	ASURB.MX
IPC7	BIMBOA.MX
IPC8	CEMEXCPO.MX
IPC9	COMERCIUBC.MX
IPC10	ELEKTRA.MX
IPC11	FEMSAUBD.MX
IPC12	GAPB.MX
IPC13	GCARSOA1.MX
IPC14	GENTERA.MX
IPC15	GFINBURO.MX
IPC16	GFNORTEO.MX
IPC17	GFREGIOO.MX
IPC18	GMEXICOB.MX
IPC19	GRUMAB.MX
IPC20	ICA.MX
IPC21	ICHB.MX
IPC22	IENOVA.MX
IPC23	KIMBERA.MX
IPC24	KOFL.MX
IPC25	LABB.MX
IPC26	LALAB.MX
IPC27	LIVEPOLC-1.MX
IPC28	MEXCHEM.MX
IPC29	OHLMEX.MX
IPC30	OMAB.MX
IPC31	PE&OLES.MX
IPC32	PINFRA.MX
IPC33	SANMEXB.MX
IPC34	SIMECB.MX
IPC35	TLEVISACPO.MX
IPC36	WALMEX.MX
