# Wiki Link	Stock Symbol	Company Name
http://en.wikipedia.org/wiki/Glencore_International	GLEN.L	Glencore International
http://en.wikipedia.org/wiki/Royal_Dutch_Shell	RDSB.L	Royal Dutch Shell
http://en.wikipedia.org/wiki/Morrison_Supermarkets	MRW.L	Morrison
http://en.wikipedia.org/wiki/Antofagasta_PLC	ANTO.L	Antofagasta
http://en.wikipedia.org/wiki/BT_Group	BT-A.L	BT Group
http://en.wikipedia.org/wiki/BAE_Systems	BA.L	BAE Systems
http://en.wikipedia.org/wiki/Centrica	CNA.L	Centrica
http://en.wikipedia.org/wiki/SSE_plc	SSE.L	SSE plc
http://en.wikipedia.org/wiki/BP	BP.L	BP
http://en.wikipedia.org/wiki/J_Sainsbury_plc	SBRY.L	Sainsbury
http://en.wikipedia.org/wiki/Carnival_plc#Carnival_UK	CCL.L	Carnival Corporation & plc
http://en.wikipedia.org/wiki/United_Utilities	UU.L	United Utilities
http://en.wikipedia.org/wiki/Marks_%26_Spencer_Group	MKS.L	Marks & Spencer
http://en.wikipedia.org/wiki/Anglo_American_plc	AAL.L	Anglo American plc
http://en.wikipedia.org/wiki/TUI_Travel	TT.L	TUI Travel
http://en.wikipedia.org/wiki/Tullow_Oil	TLW.L	Tullow Oil
http://en.wikipedia.org/wiki/BHP_Billiton	BLT.L	BHP Billiton
http://en.wikipedia.org/wiki/Vodafone	VOD.L	Vodafone
http://en.wikipedia.org/wiki/National_Grid_plc	NG.L	National Grid plc
http://en.wikipedia.org/wiki/BG_Group	BG.L	BG Group
http://en.wikipedia.org/wiki/Rexam	REX.L	Rexam
http://en.wikipedia.org/wiki/Severn_Trent	SVT.L	Severn Trent
http://en.wikipedia.org/wiki/AstraZeneca	AZN.L	AstraZeneca
http://en.wikipedia.org/wiki/Tesco	TSCO.L	Tesco
http://en.wikipedia.org/wiki/BSkyB	BSY.L	BSkyB
http://en.wikipedia.org/wiki/Rio_Tinto_Group	RIO.L	Rio Tinto Group
http://en.wikipedia.org/wiki/Meggitt	MGGT.L	Meggitt
http://en.wikipedia.org/wiki/Mondi_Group	MNDI.L	Mondi
http://en.wikipedia.org/wiki/Aggreko	AGK.L	Aggreko
http://en.wikipedia.org/wiki/EasyJet	EZJ.L	easyjet
