timestamp,sensor_id,location,measurement_type,value,unit
1704067200000,sensor_01,warehouse_a,temperature,22.5,celsius
1704067260000,sensor_01,warehouse_a,temperature,22.8,celsius
1704067320000,sensor_01,warehouse_a,temperature,23.1,celsius
1704067380000,sensor_01,warehouse_a,temperature,22.9,celsius
1704067440000,sensor_01,warehouse_a,temperature,23.3,celsius
1704067500000,sensor_01,warehouse_a,temperature,23.0,celsius
1704067560000,sensor_01,warehouse_a,temperature,22.7,celsius
1704067620000,sensor_01,warehouse_a,temperature,22.5,celsius
1704067680000,sensor_01,warehouse_a,temperature,22.3,celsius
1704067740000,sensor_01,warehouse_a,temperature,22.6,celsius
1704067200000,sensor_02,warehouse_a,humidity,45.2,percent
1704067260000,sensor_02,warehouse_a,humidity,45.8,percent
1704067320000,sensor_02,warehouse_a,humidity,46.1,percent
1704067380000,sensor_02,warehouse_a,humidity,45.9,percent
1704067440000,sensor_02,warehouse_a,humidity,46.3,percent
1704067500000,sensor_02,warehouse_a,humidity,46.0,percent
1704067560000,sensor_02,warehouse_a,humidity,45.7,percent
1704067620000,sensor_02,warehouse_a,humidity,45.5,percent
1704067680000,sensor_02,warehouse_a,humidity,45.3,percent
1704067740000,sensor_02,warehouse_a,humidity,45.6,percent
1704067200000,sensor_03,warehouse_b,temperature,21.8,celsius
1704067260000,sensor_03,warehouse_b,temperature,22.1,celsius
1704067320000,sensor_03,warehouse_b,temperature,22.4,celsius
1704067380000,sensor_03,warehouse_b,temperature,22.2,celsius
1704067440000,sensor_03,warehouse_b,temperature,22.6,celsius
1704067500000,sensor_03,warehouse_b,temperature,22.3,celsius
1704067560000,sensor_03,warehouse_b,temperature,22.0,celsius
1704067620000,sensor_03,warehouse_b,temperature,21.8,celsius
1704067680000,sensor_03,warehouse_b,temperature,21.6,celsius
1704067740000,sensor_03,warehouse_b,temperature,21.9,celsius
