date	symbol	open	high	low	close	volume
2024-01-01	AAPL	185.50	187.20	185.00	186.80	52000000
2024-01-02	AAPL	186.90	188.50	186.50	187.90	48000000
2024-01-03	AAPL	188.00	189.80	187.80	189.20	51000000
2024-01-04	AAPL	189.50	190.20	188.90	189.80	49000000
2024-01-05	AAPL	190.00	191.50	189.80	191.00	53000000
2024-01-08	AAPL	191.20	192.80	191.00	192.50	55000000
2024-01-09	AAPL	192.80	193.50	192.30	193.00	52000000
2024-01-10	AAPL	193.20	194.00	192.80	193.80	50000000
2024-01-01	MSFT	375.20	378.50	374.80	377.00	28000000
2024-01-02	MSFT	377.50	379.80	377.00	379.20	26000000
2024-01-03	MSFT	379.50	381.20	379.00	380.80	27000000
2024-01-04	MSFT	381.00	382.50	380.50	382.00	25000000
2024-01-05	MSFT	382.30	384.00	381.80	383.50	29000000
2024-01-08	MSFT	383.80	385.50	383.50	385.00	30000000
2024-01-09	MSFT	385.20	386.80	384.80	386.20	28000000
2024-01-10	MSFT	386.50	387.50	386.00	387.00	27000000
2024-01-01	GOOGL	140.50	142.00	140.20	141.50	22000000
2024-01-02	GOOGL	141.80	143.20	141.50	142.80	21000000
2024-01-03	GOOGL	143.00	144.50	142.80	144.00	23000000
2024-01-04	GOOGL	144.20	145.00	143.80	144.80	22000000
2024-01-05	GOOGL	145.00	146.20	144.80	145.90	24000000
2024-01-08	GOOGL	146.10	147.50	146.00	147.20	25000000
2024-01-09	GOOGL	147.50	148.20	147.00	147.80	23000000
2024-01-10	GOOGL	148.00	149.00	147.80	148.50	24000000
