timestamp,station_id,location,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,precipitation_mm
2024-01-01 00:00:00,WS001,New York,5.2,78,1013.2,12.5,0.0
2024-01-01 01:00:00,WS001,New York,4.8,79,1013.0,13.0,0.0
2024-01-01 02:00:00,WS001,New York,4.5,80,1012.8,12.8,0.0
2024-01-01 03:00:00,WS001,New York,4.2,81,1012.5,13.2,0.2
2024-01-01 04:00:00,WS001,New York,4.0,82,1012.3,13.5,0.5
2024-01-01 05:00:00,WS001,New York,3.8,83,1012.0,14.0,0.8
2024-01-01 06:00:00,WS001,New York,3.5,84,1011.8,14.5,1.2
2024-01-01 07:00:00,WS001,New York,4.0,82,1011.5,14.2,0.8
2024-01-01 08:00:00,WS001,New York,5.5,78,1011.8,13.5,0.3
2024-01-01 09:00:00,WS001,New York,7.2,72,1012.0,12.8,0.0
2024-01-01 10:00:00,WS001,New York,9.0,65,1012.3,11.5,0.0
2024-01-01 11:00:00,WS001,New York,10.5,60,1012.5,10.2,0.0
2024-01-01 12:00:00,WS001,New York,11.8,55,1012.8,9.5,0.0
2024-01-01 00:00:00,WS002,London,8.5,85,1015.2,18.5,2.5
2024-01-01 01:00:00,WS002,London,8.2,86,1015.0,19.0,2.8
2024-01-01 02:00:00,WS002,London,8.0,87,1014.8,19.5,3.0
2024-01-01 03:00:00,WS002,London,7.8,88,1014.5,20.0,3.2
2024-01-01 04:00:00,WS002,London,7.5,89,1014.3,20.5,3.5
2024-01-01 05:00:00,WS002,London,7.2,90,1014.0,21.0,3.8
2024-01-01 06:00:00,WS002,London,7.0,91,1013.8,21.5,4.0
2024-01-01 07:00:00,WS002,London,7.5,89,1013.5,21.0,3.5
2024-01-01 08:00:00,WS002,London,8.5,85,1013.8,20.0,2.8
2024-01-01 09:00:00,WS002,London,9.8,80,1014.0,18.5,1.5
2024-01-01 10:00:00,WS002,London,11.0,75,1014.3,16.5,0.5
2024-01-01 11:00:00,WS002,London,12.2,70,1014.5,15.0,0.0
2024-01-01 12:00:00,WS002,London,13.5,65,1014.8,13.5,0.0
